French,English
Crédits Proposées,Proposed Facilities
Numéro de Demande / Nom du Client,Request Number / Customer Name
Garanties proposées,Proposed Collaterals
Nom du Type de Garantie,Collateral Type Name
Mettez le Privilège,Place Lien
Supprimez le Privilège,Remove Lien
Est privilégié,Is Liened
Aucune garantie en espèces n'a été proposée,No Cash-Backed Collateral was proposed
Disponibilité du prêt,Loan Availment
Date Reçue,Date Recieved
Classe,Class
Numéro de Référence,Ref No
Est une ligne,Is A Line
Division,Division
Montant Approuvé,Approved Amount
Montant Demandé,Amount Requested
Intérêt,Interest
Ajoutez À Mon Bureau,Add To My Desk
DEMANDE DE PRÉLÈVEMENT-POOL GÉNÉRAL,DRAWDOWN REQUEST - GENERAL POOL
Affichez,View
Mon Bureau,My Desk
MON BUREAU,MY DESK
L'utilisation,Availment
Mémorandum d'évaluation du Crédit,Facility Appraisal Memorandum
Numéro de référence de la Demande,Application Reference Number
Ténor approuvé,Approved Tenor
Montant Décaissé,Disbursed Amount
Demande Précédente,Previous Request
Nouvelle Demande,New Request
Demande Non Approuvée,Unapproved Request
Demande Approuvée,Approved Request
La Demande Totale,Total Request
Compte de Réception,Receiving Account
Compte Payant,Paying Account
Approbation du Décaissement du Prêt,Loan Disbursement Approval
,Customer&apos;s Supporting Documentation
Détails du prêt,Loan Details
Demandes D'Emploi De Prêt,Loan Job Requests
Timbre de la Garantie à couvrir,Collateral Stamp to Cover
Sécurité disponible,Available Security
Timbre à couvrir,Stamp to Cover
,Checklists &amp; Collateral
Exposition RM NPL,RM NPL Exposure
Limite RM NPL,RM NPL Limit
L'Exposition de la Succursale,Branch Exposure
La Limite de la Succursale,Branch Limit
Exposition du Débiteur,Obligor Exposure
Limite du débiteur,Obligor Limit
Exposition du secteur,Sector Exposure
,Limits &amp; Exposure Validation
Placement En Garantie en Espèces,Cash Collateral Lien Placement
Placement de Privilège,Lien Placement
Mémo de prélèvement ,Drawdown Memo
Mémo de prélèvement ,Drawdown Memo
Route Job,Job Route
Approbation De La Mémo,Approval Memo
Décision,Decision
--- Sélectionnez Décision ---,--- Select Decision ---
Montant du prélèvement,Drawdown Amount
Type de CRMS,CRMS Type
Type de réglementation du CRMS,CRMS Regulatory Type
Ajoutez le CRMS,Add CRMS
Approuvez,Approve
TYPE DE REMBOURSEMENT CRMS,CRMS REPAYMENT TYPE
-- Sélectionnez le type d'Accord de remboursement CRMS --,-- Select CRMS Repayment Agreement Type --
PÉRIODE DE MORATOIRE (En Jours),MORATORIUM PERIOD (In Days)
GARANTIE PAR GARANTIE,SECURED BY COLLATERAL
L'IDENTIFICATION DU TYPE DE GARANTIE DU CRMS,CRMS COLLATERAL TYPE ID
-- Sélectionnez le type de garantie CRMS --,-- Select CRMS Collateral Type --
EST CRÉDIT SPÉCIALISÉ,IS SPECIALISED FACILITY
,False
,True
Soumettre,Submit
Ajoutez un garant,Add Guarantor
Type de Garant,Guarantor Type
Sélectionnez Compte du Client,-- Select Customer Account --
Individu,Individual
Entreprise,Corporate
2ème nom,Middlename
Nom de famille,Lastname
BVN,BVN
Numéro de Téléphone 1,Phone Number 1
Numéro de Téléphone 2,Phone Number 2
Relation,Relationship
Durée de la relation (ans),Relationship Duration (Yrs)
adresse courriel,Email Address
Adresse,Address
Formulaire de Prêt du Garant,Loan Gaurantor Form
Nom De Troisième Partie Du Client,Third Party Customer Name
Recherchez un client,Search customer
Cycle,Cycle
Action Autorisée,share Allowed
Affichez les détails de la garantie,View Collateral Detail
Recherchez un Garantie,Search Collateral
Détail,Detail
Lettre D'Offre Générée,Generated Offer Letter
Renvoyez,Refer back
Document des Obligations et Garantie,Bonds and Guarantee Document
Les Demandes De Prêt,Loan Applications
Client,Customer
Affichez Les Détails,View Details
Dernier Commentaire,Last Comment
De:,From:
Niveau:,Level:
Informations sur l'application,Application Information
Documents B et G,B and G Documents
Document B et G,B and G Document
Documents justificatifs,Supporting Documents
Affichez le formulaire 3800B,View Form 3800B
Formulaire 3800B,Form 3800B
Erreur:,Error:
Enregistrez et envoyez,Save and Send
Lettre D'Offre Générée,Generated Offer Letter
Gestion Centrale Des Demandes De travail,Central Job Request Management
Liste de demande,Request List
Cherchez Par Statut,Fetch By Status
Créez un nouveau,Create New
Tout,All
En attente,Pending
Terminé,Completed
,In-progress
Annulé,Cancelled
Code de Demande du Travail/ Numéro de Référence,Job Request Code/Reference Number
Affichez la succursale de Source,Show Source Branch
Type de Travail,Job Type
Envoyé Par,Sent By
La Succursale de Source,Source Branch
Requis pour,Required for
Assigné à,Assigned To
Prenez Des Mesures,Take Action
Réattribuez cette tâche à quelqu'un,Reassign this task to somebody
La Vue de demande du travail,Job Request View
Réponse Par:,Response By:
Cette demande n'a pas reçu de réponse,This Request has not been responded to
Réattribuez le Travail,Reassign Job
Sélectionnez Le Centre,-- Select Hub --
Personnel cible du Centre,Hub Target Staff
-- Sélectionnez le Personnel cible --,-- Select Target Staff --
département,Department
Unité,Unit
Titre De Travail,Job Title
Rôle,Role
Grade,Rank
Le Travail publié par,Job Posted by
-- Nouvelle Unité de Destination --,-- New Destination Unit --
Message de Demande,Request Message
Message de Réponse,Response Message
Affichez Les Informations du Client,Show Customer Information
Informations du Client,Customer Info
Informations sur le prêt,Loan Info
Description du Document,Document Description
Date d'Arrivée,Arrival Date
Revalidé,Revalidated
Titulaire?,Tenured?
,Bank&apos;s Format?
Étudiant#,Students#
Frais De Scolarité Antérieurs Par Trimestre,Previous School Fees Per Term
Classe de Produit,Product Class
Marché,Market
Chiffre D'Affaires Mensuel,Monthly Turnover
Nom principal,Pricipal Name
Compte Principal,Principal Account
Sélectionnez l'État de la garantie,-- Select Collateral State --
Solliciteur,Solicitor
Sélectionnez Un Solliciteur,-- Select Solicitor --
Classe de recherche,Search Class
-- Sélectionnez la Classe de recherche --,-- Select Search Class --
Montant de la recherche,Search Amount
Ajoutez les frais,Add Charge
Informations de Recherche,Search Information
Nom du Contact,Contact Name
Nom De L'Entreprise,Firm Name
Compétence de Base,Core Competence
Le Courriel au Solliciteur,Mail To Solicitor
Titre,Heading
Sous-titre,Subheading
Normal,Normal
Sans Serif,Sans Serif
Serif,Serif
Monospace,Monospace
Transférez à RM,Forward To RM
Frais liés aux garanties déjà recommandés!,Collateral related charges already recommended!
Solliciteur a été payé!,Solicitor has been paid!
Les Frais des affaires,Charge Business
Narration,Narration
Passez les Frais,Post Charges
,JOB REVIEW &amp; PROCESSING
Statut de la demande de travail,Job request status
Raison du rejet,Reason for rejection
Statut de la demande,Request Status
Raison de la désapprobation,Reason For Disapproval
-- Sélectionner Une Raison --,-- Select Reason --
Document justificatif,Supporting Document
Envoyez,Send
RÉPONSE,RESPONSE
Actualisation,Refresh
Attachez un fichier,Attach file
RENVOYEZ,REFER BACK
Vérification-Raison de désapprobation,Verification - Reason for Disapproval
Raison De Désapprobation,-- Reason For Disapproval --
Jeton d'authentification,Authentication Token
Attachez le document,Attach Document
Toutes les entrées de travaux demandées,All Requested Jobs Entries
Affichez le statut de la demande de travail d'application,View Application Job Request Status
Approuvé,Approved
Traitement,Processing
Désapprouvé,Disapproved
Nombre de travaux,Job Count
Affichez la demande,View Request
Informations sur la demande d'emploi de prêt,Loan Job Request Information
Temps,Time
Envoyé à,Sent At
Envoyé de,Sent From
Envoyé à,Sent To
Réattribué à,Reassigned To
Détail des informations de demande de travail sélectionné,Selected Job Request Information Detail
Travail Envoyé À:,Job Sent At:
Envoyé Par:,Sent By:
Unité envoyée à:,Unit Sent to:
Le Centre Envoyé À:,Hub Sent To:
Personnel Envoyé À:,Staff Sent To:
Réattribué À:,Reassigned To:
Date d'envoi:,Date Sent:
Date de Réponse:,Response Date:
Date De La Confirmation:,Acknowledgment Date:
La Source De Travail:,Job Source:
Type de Travail:,Job Type:
Statut de la demande:,Request Status:
Le Remarque de la Demande,Request Note
Le Remarque de la Réponse,Response Note
Documents Liés,Related Documents
Demande De Travail,Job Request
Type de Demande,Request Type
-- Sélectionnez le Type de demande --,-- Select Request Type --
-- Sélectionnez le Type de travail --,-- Select Job Type --
crédit cible,Target Facility
IR:,IR:
Unité de destination,Destination Unit
-- Sélectionnez l'unité de destination --,-- Select Destination Unit --
Personnel cible,Target Staff
Exige un document,Require Document
Itinéraire de demande,Request Route
Titre du Message,Message Title
Le Corps Du Message,Message Body
Message,Message
Téléchargez les Documents,Upload Documents
Contenu principal,Main content
Documents justificatifs,Supporting Documents
,Solicitor&apos;s Collateral Search Confirmation
Référence de l'application,Application Ref
Code de la Demande,Request Code
Consultant,Consultant
Type de Recherche,Search Type
Acc # Débité,Acc# Debited
En attente,Pending
Confirmez la recherche,Confirm Search
Transaction inversée,Reverse Transaction
Commentaire de réponse à la demande de travail,Job Request Response Comment
Jeton d'authentification,Authentication Token
Demande De Travail du Crédit,Facility Job Request
Répondu par,Responded by
Chargez La Liste De Contrôle,Load Checklist
Les Prêts Approuvés de FAM en attente de La Liste de Contrôle,FAM Approved Loans Awaiting Checklist
Vérifiez,Check
Éléments non vérifiés,Unchecked Items
Élément de la liste de contrôle,Checklist Item
Externe,External
Vérifiez,Check
Éléments de la Liste de Contrôle Vérifiés,Checked Checklist Items
État de la liste de contrôle,Check list Status
Mémo sur les reports / renonciations,Deferals/Waivers Memo
Allez Pour L'Approbation,Go For Approval
,Checklist Details
Raison,Reason
État de la Liste de contrôle,Checklist Status
--- Sélectionnez l'état de la Liste de contrôle ---,--- Select Checklist Status ---
Date différée,Defered Date
Voyez la liste de contrôle de la lettre d'offre,View Offer Letter Checklist
État de la liste de contrôle (RM),Checklist Status(RM)
Type de Condition,Condition Type
Validé,Validated
Diminué,Declined
Pas Vérifié,Not Checked
Document de la liste de contrôle,Checklist Document
--- Sélectionnez l'option ---,--- Select Option ---
--- Oui ---,--- Yes ---
--- Non ---,--- No ---
Initiation du Prélèvement,DrawDown Initiation
Utilisez Plusieurs Prélèvement,Use Multiple Drawdown
Nom Du Crédit,Facility Name
Montant Demandé,Requested Amount
Procédez,Proceed
N/A,N/A
Demandes approuvées par l'employeur lié pour le lancement du prélèvement,Approved Employer Related Requests For Draw-down Initiation
La Date De Réception,Date Received
Détails De La Demande De Prélèvement,DrawDown Request Details
(ce client est un client potentiel),(this customer is a Prospective Customer)
Nouveau Montant de la Demande,New Request Amount
Sélectionnez un produit,-- Select Product --
Document de Demande du Client,Customer Request Document
Montant Disponible,Available  Amount
Enregistrez l'ajustement,Save Adjustment
Commentaires:,Comments:
Employeur lié:,Related Employer:
,Initiate Drawdown&gt;
Continuez le prélèvement,Continue Drawdown
Sélectionnez Approbateur,Select Approver
Sélectionnez Un Membre du Groupe,Select Group Member
Sélectionnez Le Client,Select Customer
REMARQUE: PRIVILÈGE SERA PLACÉ POUR CE PRÊT!,NOTE: LIEN WILL BE PLACED FOR THIS LOAN!
Prenez les frais une fois,Take fee once
Liées Au Projet,Project Related
Lancez le Prélèvement,Initiate Drawdown
Demande du client,Customer Request
Informations sur la demande de prêt,Loan Request Info
Évaluation Du Mémorandum,Appraisal Memorandum
Lettre D'Offre Générée,Generated Offer Letter
Garantie(s) du Crédit,Facility Collateral(s)
Autres Informations,Other Information
Placement En Garantie en Espèces,Cash Collateral Lien Placement
Approbation De La Mémo,Approval Memo
Modifiez le mémo,Edit Memo
Évaluation Des Risques Du Projet,Project Risk Rating
DÉBITEUR / CONTRACTANT,OBLIGOR/ CONTRACTOR
Évaluation,Rating
Catégorisation des Risques,Risk Categorisation
Emplacement du Projet,Project Location
Les Détails Du Projet,Project Details
Évaluation Des Risques Du Projet,Project Risk Rating
Report et Renonciations,Deferral Waivers
retrait d’argent liquide effectué à l’occasion d’un achat,CASHBACK
Fond,Background
Question,Issues
Mémo de prélèvement ,Drawdown Memo
Recherchez un membre,Search Member
Recherchez un client,Search Customer
Évaluation Des Risques Du Projet,Project Risk Rating
- Sélectionnez -,-- Select --
Emplacement du Projet,Project Location
Les Détails Du Projet,Project Details
Réservation de Crédit,Facility Booking
Montant Disponible,Available Amount
Acheminé,Routed
Référé,Referred
Affichez le Routage de Crédit,Show Facility Routing
Produit,Product
Type de Crédit,Loan Facility Type
Est Une Partie Liée,Is Related Party
Oui,Yes
Non,No
Politiquement exposé?,Politically Exposed?
Type de client,Type of Customer
Compte Payant,Paying Account
-- Sélectionnez Compte de Collecte --,-- Select Collecting Account --
Code de Taux,Rate Code
-- Sélectionnez le Code de taux --,-- Select Rate Code --
Montant du taux,Rate Amount
Compte de collection,Collection Account
-- Sélectionnez Compte de Collection --,-- Select Collection Account --
Secteur,Sector
Compte Client,Customer Account
CODE CRMS,CRMS CODE
Aperçu,Overview
Responsable de compte,Account Officer
Gestionnaire de Relations,Relationship Manager
Montant Approuvé par le Groupe,Group Approved Amount
Montant Approuvé Par le Client,Customer Approved Amount
Montant Disponible,Available Amount
Montant du Décaissement,Disbursement Amount
Le Crédit,Facility
Date d'entrée en vigueur de la ligne approuvée,Approved Line Effective Date
Compte à débiter,Account to debit
Teneur approuvée (en jours),Approved Tenor (in days)
Teneur approuvée (en mois),Approved Tenor (in months)
Informations sur le prêt primaire,Primary Loan Information
Contrat de Prêt,Loan Covenant
Type d'alliance,Covenant Type
Détail de l'alliance,Covenant Detail
Type de Fréquence,Frequency Type
Informations sur le Pacte de Prêt,Loan Covenant Information
Garantie (s) de prêt,Loan Collateral(s)
Documents justificatifs,Supporting Documents
Les Documents De Prêt,Loan Documents
Frais de prêt,Loan Charge/Fee
Frais De Nom,Fee Name
Intégral?,Integral?
La Concession?,Concession?
La Concession?,Concession?
Obtenez Le Solde Du Compte,Get Account Balance
Montant total des frais:,Total Fee Amount:
Raison de la consession,Consession Reason
Taux recommandé,Recommeded Rate
Concession de Frais,Fee Concession
Frais de charge,Charge Fees
Liste de Contrôle des Demandes de Prêt,Loan Application Checklist
Liste de contrôle,Checklist
Déclencheur de surveillance de prêt,Loan Monitoring Trigger
Déclencheur de Surveillance,Monitoring Trigger
Dynamique des transactions de prêt,Loan Transaction Dynamics
Taux D'Intérêt,Interest Rate
Date D'Entrée En Vigueur,Effective Date
Date d'Échéance,Maturity Date
Limite de Découvert,Overdraft Limit
Base,Basis
Type de renouvelable,Revolving Type
Type d'intérêt,Interest Type
Indice des prix,Price Index
Remise,Discount
Valeur remise,Discounted Value
Ténor de prêt,Loan Tenor
Ajoutez un bénéficiaire,Add Beneficiary
,Beneficiaries&apos; Plan
Total,Total
Montant Éventuel,Contingent Amount
Date d'Échéance,Maturity Date
enregistrez un prêt,Book Loan
Maintenez la Ligne de Crédit,Maintain Facility Line
Formulaire Bénéficiaire du Prêt,Loan Beneficiary Form
Demandes d'Examen de Prêt,Loan Review Applications
Détails de la Demande,Application Details
Niveau d'Approbation Actuel,Current Approval Level
Type d'Activité,Activity Type
Détails de l'examen,Review Details
Information d'ASP,ASP Information
Contingent Utilisé,Used Contingent
Détails de la garantie liée,Mapped Collateral Details
Les Documents,Documents
Listes de contrôle,Checklists
Garantie,Collateral
Demande De Travail,Job Request
- Sélectionnez la section du document -,-- Select Document Section --
Aperçu,Preview
Aperçu Précédent,Preview Previous
Mémorandum d'approbation,Approval Memorandum
Documentation d'évaluation pour RÉFÉRENCE:,Appraisal Documentation for REFERENCE:
émission de prêt,Loan Origination
Affichez le prélèvement de l'examen du prêt,Show Loan Review Drawdown
Gestion des Prêts,Loan Management
Ajoutez Un Appel Mémo,Add Call Memo
But,Purpose
Lieu de la réunion,Location of Meeting
Date de l'appel,Call Date
Date du Prochain Appel,Next Call Date
Envoyer pour approbation,Send for Approval
Mémo d'appel du client,Customer Call Memo
Date de début,Start Date
Date de Fin,End Date
Nom du Client,Customer Name
Recherchez Un Plan d'Appel,Search Call Plan
Recherchez Un Mémo d'appel,Search Call Memo
Imprimez Mémo d'Appel,Print Call Memo
Ajoutez Un Appel Mémo,Add Call Memo
Recherchez un client,Search for Customer
Le but de la Réunion,Purpose of the Meeting
Lieu de la réunion,Location of the Meeting
Temps d'Appel,Call Time
Heure du Prochain Appel,Next Call Time
Cc: (E-mails séparés par un point-virgule),Cc: (Separate emails with semi-colon)
Participant,Participants
Fond du Client,Customer Background
Mise à Jour Récente,Recent Update
Faits saillants de la Réunion,Meeting Highlights
Plan d'Action,Action Plan
Enregistrez le Mémo d'appel,Save Call Memo
Recherche pour un Client,Search For Customer
adresse courriel,Email Address
Allez Pour L'Approbation,Go For Approval
Demande de Prêt En Attente de Liste de Contrôle,Loan Application Awaiting Checklist
Affichez,View
Voyez la Liste de contrôle des demandes de prêt,View Loan Application CheckList
Sélectionnez Crédit,Select Facility
Validé,Validated
État de la Liste de contrôle,Checklist Status
Date différée,Deferred Date
Éléments de la liste de contrôle,Checklist Items
Statut,Status
Validation des Disponibilités,Availment Validation
Effectuez une Évaluation des Risques Environnementaux et Sociaux (ESG),Perform Environmental and Social Risk Assessment(ESGS)
Oui,Yes
Non,No
Remarque / Commentaire,Remark/Comment
Le niveau de Risque global,Overall Risk level
LA CATÉGORIE A,CATEGORY A
CATÉGORIE B,CATEGORY B
CATÉGORIE C,CATEGORY C
Résumé,Summary
Faible,Low
Moyen,Medium
Haut,High
N/A,N/A
La Catégorie A,Category A
Catégorie B,Category B
Catégorie C,Category C
Répliquez,Replicate
Affichez le Résumé,Show Summary
Enregistrez L'évaluation de ESG,Save ESGRating
Effectuez une Évaluation de l'Identifiant de Prêt Vert,Perform Green Loan Identifier Assessment
Catégorie Verte,Green Category
État de la Liste de contrôle,Checklist Status
Enregistrez la Note Verte,Save Green Rating
Obtenez le résumé,Get Summary
L'entretien de prêt marche!,loan-maintenance works!
L'entretien de garant marche! C'est vrai,guarantor-maintenance works! Thats true
Génération de Lettre d'Offre,Offer Letter Generation
Affichez FAM,View FAM
Affichez les Informations du Client,View Customer Information
Transférez aux affaires,Forward to Business
Sélectionnez le Modèle de Lettre d'Offre,Select Offer Letter Template
commentaires,Comments
Commentaires sur l'examen de la lettre d'offre,Offer Letter Review Comments
Modifiez La Lettre d'Offre,Edit Offer Letter
-- Sélectionnez l'option --,-- Select Option --
Salutation de La Lettre d'Offre,Offer Letter Salutation
Clause de Lettre d'Offre,Offer Letter Clause
Acceptation de la Lettre d'Offre,Offer Letter Acceptance
Modèle de lettre d'offre,Offer Letter Template
- Sélectionnez un modèle -,-- Select Template --
Appliquez le Modèle,Apply Template
Examen de la lettre d'offre,Offer Letter Review
Soumettez Pour Disponibilité,Submit For Availment
Renvoyez à l'Examen de la Lettre d'offre,Refer back to Offer Letter Review
Indiquez L'Acceptation Du Client,Indicate Customer Acceptance
Autres Pièces Justificatives,Other Supporting Documentation
Indiquez l'acceptation de la lettre d'offre,Indicate Offer Letter Acceptance
Annulez PEN,Cancel PEN
Détails du client,Customer Details
Relation D'Agent,Relationship Officer
Chef des Affaires,Business Manager
Entreprises liées,Related Companies
Nom de l'Entreprise liée :: Description,Related Company Name :: Description
Description du Projet,Project Description
Structure propriétaire,Ownership Structure
Description du Client,Client Description
Numéro D'Identification Fiscale,Tax Identification Number
Exposition Existante,Existing Exposure
Rôle / Demande financière de la Banque,Bank’s Role/Financial request
Plan de financement du projet,Project Financing Plan
Région de CAP,CAP Region
-- Sélectionnez la région --,-- Select Region --
Détails du PEN,PEN Details
,Proposed Terms &amp; Conditions
Contrat De Garantie,Collateral Arrangement
Modalités de mise en œuvre,Implementation Arrangements
La Demande Du Marché,Market Demand
Impact Environnemental,Environmental Impact
,PEN Details Cont&apos;d
Profil D'Entreprise,Business Profile
,Risk/Concerns &amp; Mitigants
,Prudential &amp; Exposure Limit Implications
Justification de la Participation Bancaire,Bank Participation Justification
Alignement Stratégique du Portefeuille,Portfolio Strategic Alignment
Évaluation de La Viabilité Commerciale,Commercial Viability Assessment
PEN complet,Complete PEN
Notes d'évaluation préliminaire,Preliminary Evaluation Notes
Code de PEN,PEN Code
Affichez,View
Évaluation de La Viabilité Commerciale,Commercial Viability Assesmdent
Téléchargez,Download
Voyez le Flux de travail d'approbation,View Approval Workflow
Simulation Du Calendrier de Remboursement,Repayment Schedule Simulation
Les Conditions De Remboursement:,Repayment Terms:
Calendrier de Remboursement:,Repayment Schedule:
Méthode de Planification,Schedule Method
Sélectionnez la méthode de planification,Select Schedule Method
Le Taux D'Intérêt Contractuel,Contractual Interest Rate
Plans de paiement,Payment Plans
Date,Date
Le Principal et les Intérêts,Principal and Interest
Principal Seulement,Principal Only
Intérêt Seulement,Interest Only
-- Sélectionnez la fréquence--,--Select Frequency--
Une fois,Once
Mensuel,Monthly
Trimestre,Quaterly
Comptez,Count
Supprimez La Sélection,Delete Selected
Générez,Generate
Fréquence des Intérêts,Interest Frequency
Sélectionnez la fréquence,Select Frequency
La Date de Premier Paiement d'Intérêt,Interest First Pmt Date
Fréquence de principale,Principal Frequency
La Date de Premier Paiement de Principal,Principal First Pmt Date
Ténor en Jours,Tenor in Days
Ténor en mois,Tenor in Months
Mode de réévaluation du Prix,Repricing Mode
Sélectionnez le mode de réévaluation du Prix,Select Repricing Mode
Sans Décaissement,Without Disbursement
Détails De L'échancier,Schedule Details
Taux D'Intérêt Effectif,Effective Interest Rate
L'échéancier,Schedule
Retour,Back
Les détails,Details
Recherche de Bureau de Crédit,Credit Bureau Search
Recherchez un client,Search Customer
Date de naissance/Constitution,Date of Birth/Incorporation
Numéro de BVN / RC,BVN/RC Number
n/a,n/a
Est-Il Positif?,Is Positive?
Procédez À L'Application,Proceed To Application
Nom De L'Entreprise,Business Name
Date de naissance,Date of birth
Commencez La Recherche,Start Search
Options de recherche de première centrale,First Central Search Options
Date de constitution,Date of Incorporation
Téléchargez le Rapport,Download Report
Choisissez l'option de recherche,Choose search option
-- Sélectionnez L'Option de recherche --,-- Select Search Option --
"(nom, prénom, sexe, date de naissance)","(name, gender, dob)"
N ° D'Enregistrement,Registration No
Téléphone,Telephone
Tous Les Paramètres,All Parameters
Le Prêt de CRC,CRC Loan Facility
Options de Recherche CRC,CRC Search Options
ID du résultat d'élément,Result Item ID
Score De Confiance,Confidence Score
Numéro de référence CRMS,CRMS RefNumber
Type de crédit,Credit Type
Limite de Crédit,Credit Limit
Le montant encours,Outstanding Amount
Institution Subventionnaire,Granting Institution
Le Statut De Performance,Performance Status
Saisissez votre numéro ou nom de client,Type in your customer number or name
ID de client,Customer ID
Client Du Secteur,Customer Sector
COMMENCEZ LA DEMANDE DE PRÊT,START LOAN APPLICATION
suivant,next
--- Sélectionnez le Type de Client ---,--- Select Customer Type ---
Type d'Entreprise,Corporate Type
--- Sélectionnez en outre le Type d'entreprise ---,---Further select Corporate Type ---
Informations de Client du Groupe,Group Customer Information
Recherchez un groupe de clients,Search customer group
Mis sur la liste noire,Blacklisted
Renseignements Complétés,Information Completed
Bureau de Crédit Terminé,Credit Bureau Completed
Modifiez,Edit
Commencez La Demande de Prêt,Start Loan Application
Type d'application,Application Type
--- Sélectionnez le Type d'application ---,--- Select Application Type ---
Les Prêts Existants,Existing Loans
Liste des prêts existants,List of existing loans
Crédit radiée,Written-off Facility
Avertissement!,Warning!
Danger!,Danger!
Nouvelle Demande de Prêt,New Loan Application
Recherchez les Groupes de Clients,Search Customer Groups
Saisissez les Frais,Capture Fee
Facturez Les Frais,Charge Fee
Taux de frais,Fee Rate
- Sélectionnez Frais -,-- Select Fee --
Plan Comptable De CASA,CASA Chart Of Account
Compte CASA,CASA Account
Taux Des Frais De(%),Fee Rate(%)
Détails de la garantie,Collateral Details
Sous-type de garantie,Collateral SubType
Contingent Utilisé,Used Contingent
Tous Les Contingents Utilisés,All Used Contingent
Critères D'Acceptation Des Risques,Risk Acceptance Criteria
SN,SN
Requis,Required
Réel,Actual
Commentaire,Comment
Commentaires sur les critères,Criteria Comments
Enregistrez et Fermez,Save and  Close
Document De Recherche,Document Search
Recherche par Code ou Nom du Client,Search by Customer Code or Name
-- Sélectionnez le Type de document --,-- Select Document Type --
Document De Résultat De Recherche,Document Search Result
Intié par,Intiated By
Option d'entrée,Input Option
Renvoyez,Refer Back
Informez,Loop In
Recherche un personnel,Search staff
Recherche le Personnel,Search Staff
Recherche le Personnel,Search Staff
Garanties,Collaterals
Détails d'échange de garantie,Collateral Swap Details
Application de Recherche,Search Application
Garanties proposées,Proposed Collaterals
Couverture de garantie prévue (%),Expected Collateral Coverage (%)
Couverture réelle des garanties (%),Actual Collateral Coverage (%)
Couverture Totale De Crédit Atteinte (%),Total Facility Coverage Achieved (%)
Affichez les Détails de la Garantie,View Collateral Details
Échangez avec,Swap With
Mémo Pour,Memo For
Chargez le modèle,Load Template
Enregistrez les Modifications,Save Changes
Section d'Impression,Print Section
Chargez le Modèle de Document,Load Document Template
Modèle de Document,Document Template
-- Sélectionnez le modèle de document --,-- Select Document Template --
Chargez le document,Load Document
Crédits Proposées,Proposed Facilities
N ° de référence de la demande,Application Ref No
Montant réservé,Booked Amount
Date de réservation,Book Date
Couverture,Coverage
Principal Impayé,Outstanding Principal
ÉVALUATION DES RISQUES DES AGENTS DE CRÉDIT:,CREDIT OFFICER RISK RATING:
Filtre,Filter
Prêts en cours (montant),Loans In Pipeline (Amount)
Prêts approuvés (Montant),Approved Loans (Amount)
Opérations en cours de LMS (Montant),Operations In Pipeline LMS (Amount)
Opérations approuvées LMS (Montant),Approved Operations LMS (Amount)
Filtre de Données de Tableau de Bord,Dashboard Data Filter
Filtre,Filter
Types de Produits,Product Types
Nom du Type de Produit,Product Type Name
Nom du Groupe de Produits,Product Group Name
Nouveau,New
Nom du type,Type Name
Groupe,Group
Sélectionnez un groupe,-- Select Group --
Classification,Classification
Sélectionnez la classification,-- Select Classification --
Exige Le GL principal,Require Principal GL
Exige GL à découvert,Require Overdrawn GL
Exige un taux,Require Rate
Exige Ténor,Require Tenor
Exige le 2e GL principal,Require Principal GL 2
Exige un GL dormant,Require Dormant GL
Exige Le Charge GL d'Intérêts / Revenu,Require Interest / Income Expense GL
Groupes de Produits,Product Groups
Code du Groupe de Produits,Product Group Code
Nom du Groupe de Produits,Product Group Name
Code du Groupe de Produits,Product Group Code
Entreprise,Companies
Site Internet,Website
L'actionnariat %,Shareholding %
Modifiez le Groupe,Edit Group
Nom De L'Entreprise,Company Name
L'Entreprise Mère,Parent Company
Sélectionnez L'Entreprise,Select Company
Devise,Currency
La Nature de l'Entreprise,Nature of Business
Sélectionnez Le Type d'entreprise,Select Business Type
Pays,Country
Sélectionnez un pays,Select Country
Langue,Language
Sélectionnez la langue,Select Language
Téléphone,Telephone
Nom De Schéma,Scheme Name
Date de Constitution,Date of Inc
Site Internet,Website
Le Logo De L'Entreprise,Company Logo
Le Chemin De L'Image,Image Path
Le chemin de l'Image,Image path
Titre,Title
2ème nom,Middle Name
Est-Il Actif ?,Is Active ?
L'actionnariat %,Shareholding %
Champ personnalisé Filtrer par Page Hôte,Custom Field Filter by Host Page
Page d'Accueil,Host Page
-- Sélectionnez la Page Hôte --,-- Select Host Page --
Champs Personnalisés,Custom Fields
Type de Contrôle,Control Type
-- Sélectionnez le Type de contrôle --,-- Select Control Type --
Élément De Commande,Item Order
Champ Obligatoire,Required Field
Les Succursales,Branches
Région,Region
Adresse Ligne 2,Address Line 2
Commentaire,Comment
Notation des risques,Risk Scorings
Les taux,Rates
Portée Minimale,Max Range
Portée Maximale,Min Range
Taux conseillé,Adviced Rate
Évaluation,Rating
Produit,Product
Portée Minimale,Minimum Range
Portée Maximale,Maximum Range
Taux conseillé,Adviced Rate
Description,Description
Portée Minimale,Minimum Range
Portée Maximale,Maximum Range
Le plan comptable,Chart of Account
Code de Compte,Account Code
Type de Compte,Account Type
-- Sélectionnez le Type de Compte --,-- Select Account Type --
Sous Compte,Sub Account
Sélectionnez Le Compte,-- Select Account --
Numéro de Compte,Account Number
Sélectionnez La Légende d'états financiers,-- Select Fin Statement Caption --
L'État Du Compte,Account Status
Inactif,Inactive
Fermé,Closed
